station_id,time_sign,x,y,tno2,temp,et,sp,tp,wd,ws,pop,building,road,ndvi,NO2
1,367,114.0201883,22.4449437,218.0633698,283.3971252,-0.00731572,101672.6875,2.05E-07,-119.3885651,3.668749809,47.30091095,3953495.75,4815.681152,2541,37
3,367,114.1258166,22.4969545,203.3897858,283.0462646,-0.021460645,101489.3594,8.56E-07,-118.2504349,3.343526363,156.3011627,3624076.25,5897.47168,3974,39
4,367,114.3581838,22.4712708,109.0319443,283.4066772,-0.00890726,101752.4766,3.57E-07,-113.3775787,3.718242168,2.127234221,199027.9844,417.5441284,-3000,13
5,367,114.2286697,22.309823,219.5816956,284.052887,-0.038398247,101416.6406,7.59E-07,-118.2819595,4.186163902,571.750061,3221332.75,5677.513184,2184,46
6,367,114.1572091,22.3310969,327.7573547,283.8121033,-0.036348298,101250.6094,7.86E-07,-117.7612152,3.888266087,557.522583,10587726,6553.90625,1627,43
7,367,114.1269531,22.3568159,326.205658,283.648468,-0.042291023,101240.2813,8.56E-07,-117.5287704,3.710164309,231.998703,2478207,5969.117676,2324,50
8,367,114.1120975,22.3716276,294.8070374,283.5683289,-0.040474996,101274.7969,8.56E-07,-117.7389374,3.633698702,672.036499,5056594,6791.028809,2412,45
9,367,114.256814,22.3182558,132.2723541,284.0700684,-0.044412829,101556.8516,7.02E-07,-118.0384445,4.251813889,407.3021851,1751836.5,4787.187988,5726,27
10,367,113.9742504,22.3911527,274.1260071,283.6676941,-0.030427001,101809.5,4.66E-07,-119.3827362,3.90461731,297.4996643,2375346.5,5116.151367,2806,39
11,367,114.1820905,22.3764958,206.6023102,283.6481323,-0.034171015,101230.8594,8.56E-07,-116.9920807,3.752755404,146.5195313,3542057.5,5773.041016,1767,37
12,367,114.16871,22.322169,328.3124084,283.8735657,-0.034986027,101264.3672,7.81E-07,-117.9550476,3.955033779,747.2966919,14594804,7989.836426,1948,66
13,367,114.1412676,22.2848775,321.5993347,283.9263306,-0.024802379,101341,5.31E-07,-118.6023102,4.010245323,878.6085205,9484429,7007.274414,5221,38
14,367,114.1573973,22.2475352,300.95578,284.1208801,-0.021069018,101413.7188,4.80E-07,-119.532341,4.213549137,65.48966217,3044803.5,3876.920654,1145,33
15,367,114.2167934,22.2827772,245.7768707,284.1465759,-0.034576766,101401.0703,7.60E-07,-119.067543,4.255190372,1421.89978,2995995.75,4814.834961,3439,36
16,367,113.9405757,22.2885187,311.1340332,284.0657959,-0.016857939,101695.7813,4.46E-07,-118.9966888,4.224377155,45.69812012,965836.125,4032.332031,989,30
17,367,114.1805181,22.2801689,323.2789917,284.0917358,-0.032359987,101356.7344,7.41E-07,-119.114418,4.180096626,429.8672791,7206084,6894.862305,575,81
18,367,114.1565745,22.2820584,334.3394775,283.993866,-0.027201636,101349.3906,6.02E-07,-118.8185272,4.080078602,83.59503174,8509086,8754.413086,2940,80
1,368,114.0201883,22.4449437,355.4264526,285.9719543,-0.006523177,101455.7109,0,-156.017746,3.142189026,47.30091095,3953495.75,4815.681152,2541,59
3,368,114.1258166,22.4969545,171.7983093,285.5875854,-0.02106891,101276.3203,0,-157.6986847,2.860551834,156.3011627,3624076.25,5897.47168,3974,45
4,368,114.3581838,22.4712708,98.33634949,285.914856,-0.009141594,101543.3672,0,-155.4616852,3.761447668,2.127234221,199027.9844,417.5441284,-3000,13
5,368,114.2286697,22.309823,123.3269958,286.5744324,-0.031832315,101210.4141,2.57E-06,-151.9402161,4.63031435,571.750061,3221332.75,5677.513184,2184,51
6,368,114.1572091,22.3310969,279.699585,286.375061,-0.031683855,101044.5938,9.89E-07,-152.49646,4.066969872,557.522583,10587726,6553.90625,1627,52
7,368,114.1269531,22.3568159,313.7750244,286.2437744,-0.036937248,101033.3281,0,-153.0346069,3.721347332,231.998703,2478207,5969.117676,2324,46
8,368,114.1120975,22.3716276,304.5452881,286.1717529,-0.035435326,101066.6875,0,-153.5566406,3.551898479,672.036499,5056594,6791.028809,2412,50
9,368,114.256814,22.3182558,93.78035736,286.5872803,-0.03613925,101349.7656,1.23E-06,-151.9582825,4.753156662,407.3021851,1751836.5,4787.187988,5726,24
11,368,114.1820905,22.3764958,184.1461334,286.1749268,-0.03154052,101024.9453,0,-153.5032959,3.820145845,146.5195313,3542057.5,5773.041016,1767,50
12,368,114.16871,22.322169,266.0627441,286.4260254,-0.030290285,101058.4766,1.69E-06,-152.3427277,4.191965103,747.2966919,14594804,7989.836426,1948,73
13,368,114.1412676,22.2848775,266.7086792,286.5062256,-0.020551572,101133.6953,2.43E-06,-152.1855774,4.249231815,878.6085205,9484429,7007.274414,5221,38
14,368,114.1573973,22.2475352,157.0464935,286.6906128,-0.015986348,101206.0078,5.03E-06,-151.6735535,4.610949993,65.48966217,3044803.5,3876.920654,1145,28
15,368,114.2167934,22.2827772,125.5272522,286.6777954,-0.027820135,101194.625,5.05E-06,-151.6472015,4.740820408,1421.89978,2995995.75,4814.834961,3439,39
16,368,113.9405757,22.2885187,466.1117554,286.662262,-0.014734321,101479.3359,0,-151.642868,3.926950932,45.69812012,965836.125,4032.332031,989,40
17,368,114.1805181,22.2801689,187.9550934,286.6412964,-0.02613301,101150.0938,5.08E-06,-151.7592773,4.585096359,429.8672791,7206084,6894.862305,575,83
18,368,114.1565745,22.2820584,237.7966614,286.5619812,-0.022245245,101142.3125,3.47E-06,-152.0117493,4.385741234,83.59503174,8509086,8754.413086,2940,76
1,369,114.0201883,22.4449437,273.912323,289.5649109,-0.005668035,101391.6172,1.85E-06,-128.1009674,2.700519085,47.30091095,3953495.75,4815.681152,2541,55
3,369,114.1258166,22.4969545,257.2846069,289.309967,-0.020810705,101212.6172,7.72E-06,-129.9224854,2.406092644,156.3011627,3624076.25,5897.47168,3974,45
4,369,114.3581838,22.4712708,111.9829941,289.2799377,-0.008994177,101474.9297,3.22E-06,-136.1563263,2.691972733,2.127234221,199027.9844,417.5441284,-3000,16
5,369,114.2286697,22.309823,152.1083221,289.6785583,-0.023306293,101149.6172,7.22E-06,-138.6526031,3.513786554,571.750061,3221332.75,5677.513184,2184,48
6,369,114.1572091,22.3310969,245.0339661,289.5944824,-0.025769914,100985.6172,7.24E-06,-136.0049286,3.098112583,557.522583,10587726,6553.90625,1627,51
7,369,114.1269531,22.3568159,300.2106018,289.5552368,-0.029923601,100974.25,7.72E-06,-134.2452087,2.854942083,231.998703,2478207,5969.117676,2324,64
8,369,114.1120975,22.3716276,295.6617432,289.5467224,-0.028945373,101007.1016,7.72E-06,-133.3292236,2.761488438,672.036499,5056594,6791.028809,2412,61
9,369,114.256814,22.3182558,101.6189117,289.6787415,-0.024222871,101286.9844,6.51E-06,-139.1454926,3.592267752,407.3021851,1751836.5,4787.187988,5726,17
10,369,113.9742504,22.3911527,347.7687378,289.7834167,-0.017352864,101526.3516,4.20E-06,-128.1268921,2.908062696,297.4996643,2375346.5,5116.151367,2806,72
11,369,114.1820905,22.3764958,139.5031128,289.4549255,-0.027666854,100965.5469,7.72E-06,-135.2887726,2.907287836,146.5195313,3542057.5,5773.041016,1767,41
12,369,114.16871,22.322169,224.5610657,289.6168823,-0.024535207,100999.4531,7.29E-06,-136.6040802,3.193255186,747.2966919,14594804,7989.836426,1948,79
13,369,114.1412676,22.2848775,274.9743958,289.7017517,-0.015739689,101074.1172,5.14E-06,-136.3242645,3.27063179,878.6085205,9484429,7007.274414,5221,41
14,369,114.1573973,22.2475352,217.1688995,289.8141785,-0.010949216,101146.0859,5.05E-06,-137.7739258,3.565978527,65.48966217,3044803.5,3876.920654,1145,32
15,369,114.2167934,22.2827772,145.3646393,289.7607422,-0.020308081,101134.5234,7.58E-06,-138.9316101,3.626699686,1421.89978,2995995.75,4814.834961,3439,39
16,369,113.9405757,22.2885187,368.4409485,289.9611511,-0.011949462,101417.4922,4.03E-06,-128.1899109,3.117805481,45.69812012,965836.125,4032.332031,989,47
17,369,114.1805181,22.2801689,194.0074921,289.7582397,-0.019533165,101090.6172,7.41E-06,-138.0646362,3.5223248,429.8672791,7206084,6894.862305,575,86
18,369,114.1565745,22.2820584,241.5736389,289.7259216,-0.016825488,101082.7578,5.93E-06,-137.0177307,3.373584509,83.59503174,8509086,8754.413086,2940,81
1,371,114.0201883,22.4449437,535.5846558,289.4588318,-0.006380248,101261.5313,2.66E-06,-116.6363297,3.66147089,47.30091095,3953495.75,4815.681152,2541,77
3,371,114.1258166,22.4969545,411.5010986,289.2425842,-0.022932161,101083.375,1.11E-05,-116.4873123,3.397824049,156.3011627,3624076.25,5897.47168,3974,69
4,371,114.3581838,22.4712708,194.4028931,289.174408,-0.009942542,101342.6563,6.25E-06,-113.8882294,3.498201847,2.127234221,199027.9844,417.5441284,-3000,19
5,371,114.2286697,22.309823,432.5527649,289.5997009,-0.029339742,101013.2969,2.52E-05,-119.7440262,3.914473295,571.750061,3221332.75,5677.513184,2184,74
6,371,114.1572091,22.3310969,557.0184326,289.4401245,-0.031313702,100850.4531,1.65E-05,-118.3342972,3.685378075,557.522583,10587726,6553.90625,1627,67
7,371,114.1269531,22.3568159,531.4845581,289.3675537,-0.034863319,100839.9375,1.25E-05,-117.5097504,3.555174589,231.998703,2478207,5969.117676,2324,91
8,371,114.1120975,22.3716276,523.9731445,289.3666992,-0.033335228,100873.4609,1.16E-05,-117.3637466,3.514193296,672.036499,5056594,6791.028809,2412,82
9,371,114.256814,22.3182558,344.7520142,289.6191406,-0.028796889,101150.5156,2.27E-05,-119.6758347,3.959291458,407.3021851,1751836.5,4787.187988,5726,38
10,371,113.9742504,22.3911527,638.5147705,289.6287842,-0.019591231,101394.4453,6.03E-06,-116.4568253,3.812971115,297.4996643,2375346.5,5116.151367,2806,109
11,371,114.1820905,22.3764958,409.8008728,289.3210449,-0.032882344,100831.6016,1.44E-05,-117.3700867,3.58844161,146.5195313,3542057.5,5773.041016,1767,73
12,371,114.16871,22.322169,564.3706665,289.4786682,-0.030477595,100864.0156,1.93E-05,-118.7241211,3.738078594,747.2966919,14594804,7989.836426,1948,99
13,371,114.1412676,22.2848775,542.8995361,289.5652771,-0.020201182,100938.5,1.70E-05,-119.2208862,3.794718027,878.6085205,9484429,7007.274414,5221,62
14,371,114.1573973,22.2475352,458.4772949,289.7207336,-0.016331965,101009.5938,2.55E-05,-120.6060104,3.963033199,65.48966217,3044803.5,3876.920654,1145,45
15,371,114.2167934,22.2827772,448.5361938,289.6904907,-0.027580172,100997.8047,3.17E-05,-120.5964203,3.980802774,1421.89978,2995995.75,4814.834961,3439,60
16,371,113.9405757,22.2885187,668.5665894,289.8447571,-0.013163285,101282.8828,1.55E-05,-115.020134,4.024290085,45.69812012,965836.125,4032.332031,989,61
17,371,114.1805181,22.2801689,520.6174316,289.6653137,-0.026733136,100954.2031,3.04E-05,-120.3326721,3.927413464,429.8672791,7206084,6894.862305,575,108
18,371,114.1565745,22.2820584,536.8053589,289.6070557,-0.022296732,100946.8125,2.21E-05,-119.6740189,3.849526644,83.59503174,8509086,8754.413086,2940,119
1,372,114.0201883,22.4449437,461.3916016,288.3743591,-0.004948535,101194.2891,3.50E-06,-134.5189972,2.994748354,47.30091095,3953495.75,4815.681152,2541,62
3,372,114.1258166,22.4969545,256.3003235,288.1556091,-0.017826593,101016.2656,1.06E-05,-138.3240509,2.671035051,156.3011627,3624076.25,5897.47168,3974,45
4,372,114.3581838,22.4712708,61.27736664,288.1251831,-0.007642771,101280.3594,9.69E-06,-142.5284271,3.279843807,2.127234221,199027.9844,417.5441284,-3000,15
